property_id,url,property_type,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_equipped_kitchen,has_swimming_pool,has_open_fire,property_subtype,postal_code,locality,sale_type
VBD35368,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd35368,Apartment,675000.0,0.0,127.0,Normal,,,,,,,,apartment,1000.0,brussels,standard
VBD35600,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbd35600,Apartment,385000.0,0.0,52.0,New,,0.0,1.0,,,,,studio,1000.0,brussels,standard
VBD35602,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd35602,Apartment,445000.0,1.0,69.0,New,,0.0,,,,,,apartment,1000.0,brussels,standard
VBD35717,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd35717,Apartment,1859000.0,3.0,207.0,New,2.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD35832,https://immovlan.be/en/detail/apartment/for-sale/1120/neder-over-heembeek/vbd35832,Apartment,299000.0,3.0,100.0,Normal,4.0,0.0,1.0,,,,,apartment,1120.0,neder-over-heembeek,standard
VBD35718,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd35718,Apartment,1049000.0,3.0,164.0,New,,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VBD36299,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd36299,Apartment,475000.0,3.0,127.0,To renovate,2.0,0.0,1.0,,,,,apartment,1000.0,brussels,standard
VWD15165,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vwd15165,Apartment,220000.0,1.0,42.0,Normal,2.0,,,,,,,studio,1000.0,brussels,standard
VBD36371,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vbd36371,Apartment,110000.0,1.0,29.0,To be renovated,,,,,,,,studio,1000.0,brussels,standard
VBD36385,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd36385,Apartment,170000.0,1.0,50.0,nan,2.0,,,,,,,apartment,1000.0,brussels,standard
VBD36588,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbd36588,Apartment,259000.0,3.0,105.0,nan,2.0,0.0,1.0,,,,,apartment,1020.0,laken,standard
